id	name	description	price	per_guest	image_url	active	icon	category
13	Photo Booth	Digital photos sent to your phone; no printer	15000	FALSE		TRUE	📸	equipment
18	Karaoke	Fun karaoke setup for party entertainment	7500	FALSE		TRUE	🎤	equipment
29	Softplay Area	Includes 4 ft ball pit, rocker, climber, bouncy animals	30000	FALSE		TRUE	🤸	equipment
30	Glittery Makeup	Fun glittery makeup application	1000	TRUE		TRUE	✨	activity
31	Hair Tinsel	Sparkly hair tinsel application	1000	TRUE		TRUE	✨	activity
32	Beaded Hair Braid	Beautiful beaded hair braiding	1000	TRUE		TRUE	💫	activity
33	Glitter Tattoo	Temporary glitter tattoos	1000	TRUE		TRUE	⭐	activity
34	Manicure	Mini manicure for each guest	1000	TRUE		TRUE	💅	activity
35	DIY Nail Polish	Make your own nail polish activity	2000	TRUE		TRUE	💅	activity
36	Bracelet Making	Bracelet making activity for girls	1000	TRUE		TRUE	📿	activity
37	Make Your Own Slime	Fun slime making activity	2000	TRUE		TRUE	🟢	activity
15	Balloon Garland (6 ft)	Custom colors - starting price	19500	FALSE		TRUE	🎈	decor
16	Balloon Custom Stack	Personalized with name - starting price	9500	FALSE		TRUE	🔢	decor
17	Balloon Tower (6 ft)	Custom balloon tower - starting price	19500	FALSE		TRUE	🎈	decor
19	Barbie Box Rental	Rent the 6 ft life size pink Barbie photo box	10000	FALSE		TRUE	💖	decor
26	Drinks Package	Water and seltzer for 10 guests	5000	FALSE		TRUE	🥤	drink
27	Coffee Bar	Nespresso machine with coffee service	7500	FALSE		TRUE	☕	drink
14	Candy Wall	Custom selection of candy + guest take-home bags	20000	FALSE		TRUE	🍭	dessert
20	Decorated Sugar Cookies	Custom treats by Allie - per dozen	9900	FALSE		TRUE	🍪	dessert
21	Macarons	Gourmet macarons by Allie - per dozen	4500	FALSE		TRUE	🧁	dessert
22	Chocolate Covered Pretzels	Sweet treats by Allie - per dozen	4500	FALSE		TRUE	🥨	dessert
23	Chocolate Covered Rice Krispies	Delicious treats by Allie - per dozen	5900	FALSE		TRUE	🍫	dessert
24	Adult Pizza Pie	Pizza for adult guests	2800	FALSE		TRUE	🍕	food
25	Fruit Platter	Seasonal fresh fruits	7500	FALSE		TRUE	🍓	food
28	Popcorn Bar	Freshly popped popcorn with four toppings	15000	FALSE		TRUE	🍿	food
	Specialty Pizza Pie		3500	FALSE		TRUE	🍕	food
	Chicken Fingers Platter		7500	FALSE		TRUE		food
	French Fries Platter		5000	FALSE		TRUE		food
	Bubbles Drink Package		7500	FALSE		TRUE		drink
	Character Visit		59900	FALSE		TRUE		entertainment
	Magician 		59900	FALSE		TRUE		entertainment
	DJ		69900	FALSE		TRUE		entertainment
	Face Paiting		39900	FALSE		TRUE		entertainment
	Fashion show / Dress-up (Barbie)		1000	TRUE		TRUE		activity
	Unicorn Craft		1000	TRUE		TRUE		activity
	Hair Makeover		1000	TRUE		TRUE		activity
	DIY Sunglasses		2000	TRUE		TRUE		activity
	Custom Trucker Hat		2000	TRUE		TRUE		activity
	Custom Make-up Pouch		2000	TRUE		TRUE		activity
	Sand Art		2000	TRUE		TRUE		activity
	Fake Cake Decorating		2000	TRUE		TRUE		activity
	Scrapbooking		2000	TRUE		TRUE		activity
	Canvas Painting		2000	TRUE		TRUE		activity
	Sea Shell Decorating		2000	TRUE		TRUE		activity
